gender,age,annual_income,employment_status,relationship_status,loneliness_frequency,group_calls,video_call_frequency,social_media_platform,paid_online_services,motivation_online_community,platform_preference,real_name_usage,subscription_payments,sharing_comfort,daily_meaningful_contacts,friend_count
Female,45,15000-25000 €,Full-time,In a relationship,Always,No,Often,TikTok,Yes,Support for personal issues,Privacy features,Always,4-5,Comfortable,11-20,6-8
Female,39,45000+ €,Full-time,Divorced,Sometimes,Yes,Rarely,Instagram,Yes,Entertainment,Content quality,Always,1-3,Very comfortable,6-10,8 and more
Female,28,35000-45000 €,Full-time,Married,Sometimes,Yes,Rarely,Facebook,No,Support for personal issues,Community guidelines,Often,None,Neutral,None,None
Male,33,15000-25000 €,Freelancer,Married,Rarely,No,Often,Instagram,Yes,Entertainment,Community guidelines,Always,1-3,Comfortable,6-10,8 and more
Female,41,15000-25000 €,Part-time,Single,Often,Yes,Rarely,Facebook,Yes,Entertainment,Privacy features,Sometimes,4-5,Neutral,20 and more,1-3
Male,37,25000-35000 €,Full-time,In a relationship,Sometimes,Yes,Never,Facebook,Yes,Support for personal issues,Content quality,Sometimes,6 or more,Very comfortable,20 and more,None
Male,39,0-15000 €,Full-time,Divorced,Always,No,Sometimes,Facebook,No,Learning new skills,Community guidelines,Sometimes,None,Comfortable,1-5,6-8
Male,28,0-15000 €,Full-time,Divorced,Sometimes,Yes,Always,Facebook,Yes,Support for personal issues,Ease of use,Often,1-3,Comfortable,6-10,6-8
Female,39,45000+ €,Unemployed,In a relationship,Often,Yes,Sometimes,TikTok,No,Support for personal issues,Privacy features,Never,6 or more,Very comfortable,6-10,4-6
Female,32,45000+ €,Unemployed,Married,Often,No,Never,TikTok,No,Learning new skills,Privacy features,Always,4-5,Uncomfortable,None,1-3
Male,28,25000-35000 €,Full-time,Married,Sometimes,No,Rarely,Twitter,No,Support for personal issues,Ease of use,Always,1-3,Very uncomfortable,1-5,6-8
Male,40,15000-25000 €,Part-time,Married,Sometimes,Yes,Often,Twitter,No,Support for personal issues,Ease of use,Never,1-3,Comfortable,11-20,4-6
Male,46,45000+ €,Full-time,Married,Often,Yes,Often,Twitter,No,Learning new skills,Community guidelines,Sometimes,4-5,Very comfortable,6-10,4-6
Female,30,45000+ €,Part-time,In a relationship,Never,Yes,Never,Instagram,No,Entertainment,Community guidelines,Often,None,Very comfortable,11-20,1-3
Male,33,25000-35000 €,Unemployed,Single,Often,Yes,Always,Instagram,No,Learning new skills,Community guidelines,Sometimes,1-3,Uncomfortable,1-5,None
Female,44,25000-35000 €,Freelancer,Divorced,Sometimes,Yes,Never,Twitter,Yes,Support for personal issues,Content quality,Rarely,None,Neutral,11-20,6-8
Male,35,0-15000 €,Part-time,Single,Sometimes,Yes,Often,Twitter,No,Learning new skills,Privacy features,Often,4-5,Very comfortable,11-20,8 and more
Female,43,35000-45000 €,Part-time,Divorced,Sometimes,No,Sometimes,Twitter,Yes,Support for personal issues,Community guidelines,Sometimes,6 or more,Comfortable,1-5,8 and more
Female,35,15000-25000 €,Part-time,Married,Rarely,No,Often,Facebook,Yes,Entertainment,Community guidelines,Often,6 or more,Uncomfortable,None,8 and more
Female,37,0-15000 €,Freelancer,Divorced,Never,No,Always,TikTok,No,Meeting new people,Privacy features,Often,None,Neutral,None,8 and more
Female,27,15000-25000 €,Unemployed,Divorced,Often,No,Always,Instagram,No,Support for personal issues,Community guidelines,Rarely,6 or more,Comfortable,20 and more,1-3
Male,35,35000-45000 €,Freelancer,Divorced,Often,Yes,Often,TikTok,Yes,Entertainment,Ease of use,Sometimes,6 or more,Comfortable,None,1-3
Female,37,45000+ €,Unemployed,Single,Sometimes,No,Sometimes,TikTok,No,Entertainment,Community guidelines,Always,6 or more,Neutral,20 and more,8 and more
Female,45,0-15000 €,Unemployed,In a relationship,Never,Yes,Sometimes,Twitter,Yes,Learning new skills,Community guidelines,Rarely,4-5,Neutral,11-20,4-6
Female,39,0-15000 €,Full-time,In a relationship,Always,No,Rarely,TikTok,Yes,Support for personal issues,Community guidelines,Often,None,Very comfortable,None,None
Female,42,0-15000 €,Full-time,Divorced,Often,Yes,Always,Twitter,No,Entertainment,Privacy features,Sometimes,None,Uncomfortable,None,1-3
Male,39,45000+ €,Unemployed,Divorced,Always,Yes,Always,Instagram,No,Support for personal issues,Privacy features,Sometimes,6 or more,Neutral,6-10,1-3
Male,28,25000-35000 €,Unemployed,Married,Rarely,Yes,Never,Facebook,Yes,Support for personal issues,Ease of use,Always,1-3,Comfortable,20 and more,8 and more
Female,33,0-15000 €,Full-time,In a relationship,Always,No,Sometimes,Facebook,No,Entertainment,Ease of use,Sometimes,4-5,Comfortable,20 and more,8 and more
Male,39,15000-25000 €,Unemployed,Single,Sometimes,No,Rarely,TikTok,Yes,Entertainment,Community guidelines,Sometimes,6 or more,Uncomfortable,None,None
Female,44,15000-25000 €,Full-time,Divorced,Always,No,Sometimes,TikTok,No,Meeting new people,Privacy features,Often,6 or more,Comfortable,None,None
Male,40,0-15000 €,Freelancer,Married,Rarely,Yes,Often,TikTok,Yes,Support for personal issues,Content quality,Often,6 or more,Comfortable,6-10,1-3
Female,42,15000-25000 €,Part-time,Single,Often,Yes,Rarely,Instagram,Yes,Entertainment,Content quality,Sometimes,4-5,Very comfortable,None,1-3
Male,36,0-15000 €,Unemployed,Single,Sometimes,No,Always,Facebook,No,Support for personal issues,Community guidelines,Often,4-5,Very comfortable,None,1-3
Male,32,45000+ €,Unemployed,Married,Never,No,Sometimes,Instagram,No,Entertainment,Community guidelines,Rarely,4-5,Comfortable,6-10,4-6
Female,40,15000-25000 €,Full-time,Divorced,Always,Yes,Sometimes,TikTok,No,Entertainment,Content quality,Always,4-5,Very comfortable,6-10,4-6
Female,31,25000-35000 €,Freelancer,Divorced,Rarely,Yes,Rarely,Facebook,No,Entertainment,Ease of use,Often,6 or more,Neutral,1-5,8 and more
Female,39,45000+ €,Part-time,In a relationship,Sometimes,Yes,Rarely,Twitter,No,Support for personal issues,Privacy features,Always,1-3,Comfortable,None,None
Female,32,35000-45000 €,Full-time,Single,Always,Yes,Often,Instagram,No,Entertainment,Community guidelines,Sometimes,4-5,Very comfortable,20 and more,4-6
Male,35,45000+ €,Part-time,Single,Never,Yes,Rarely,Instagram,No,Support for personal issues,Ease of use,Rarely,4-5,Very comfortable,11-20,1-3
Female,30,15000-25000 €,Unemployed,In a relationship,Rarely,Yes,Never,TikTok,No,Support for personal issues,Community guidelines,Never,1-3,Very comfortable,20 and more,8 and more
Male,31,0-15000 €,Part-time,In a relationship,Rarely,Yes,Often,Twitter,No,Support for personal issues,Privacy features,Rarely,4-5,Comfortable,1-5,None
Male,41,35000-45000 €,Full-time,In a relationship,Often,Yes,Never,Facebook,No,Support for personal issues,Privacy features,Sometimes,6 or more,Neutral,20 and more,4-6
Female,46,15000-25000 €,Part-time,In a relationship,Often,Yes,Always,Instagram,Yes,Support for personal issues,Community guidelines,Often,1-3,Very comfortable,None,1-3
Female,36,45000+ €,Full-time,Single,Always,Yes,Rarely,TikTok,Yes,Entertainment,Ease of use,Rarely,4-5,Neutral,6-10,6-8
Female,29,0-15000 €,Full-time,Married,Sometimes,No,Always,Twitter,Yes,Support for personal issues,Ease of use,Rarely,6 or more,Neutral,None,None
Female,37,45000+ €,Unemployed,Married,Often,Yes,Rarely,Instagram,Yes,Support for personal issues,Content quality,Often,4-5,Very comfortable,None,None
Male,39,0-15000 €,Part-time,In a relationship,Never,No,Rarely,Instagram,Yes,Entertainment,Community guidelines,Sometimes,1-3,Comfortable,20 and more,4-6
Female,44,35000-45000 €,Freelancer,Divorced,Often,Yes,Sometimes,Facebook,Yes,Meeting new people,Content quality,Often,6 or more,Neutral,1-5,1-3
Female,32,25000-35000 €,Unemployed,Divorced,Sometimes,No,Rarely,Twitter,Yes,Meeting new people,Content quality,Rarely,1-3,Comfortable,None,None
Male,34,0-15000 €,Part-time,Married,Never,No,Sometimes,Facebook,No,Support for personal issues,Content quality,Sometimes,4-5,Very comfortable,1-5,1-3
Female,32,0-15000 €,Part-time,Married,Often,Yes,Sometimes,Facebook,No,Support for personal issues,Community guidelines,Rarely,6 or more,Comfortable,6-10,4-6
Female,27,15000-25000 €,Freelancer,Divorced,Sometimes,No,Never,Facebook,No,Learning new skills,Privacy features,Always,None,Neutral,None,1-3
Female,41,35000-45000 €,Part-time,Divorced,Never,No,Never,Facebook,Yes,Learning new skills,Content quality,Rarely,6 or more,Comfortable,20 and more,6-8
Female,38,15000-25000 €,Freelancer,Married,Always,Yes,Always,TikTok,Yes,Learning new skills,Community guidelines,Rarely,None,Neutral,1-5,6-8
Male,44,0-15000 €,Part-time,In a relationship,Rarely,Yes,Never,Facebook,No,Entertainment,Community guidelines,Always,None,Neutral,1-5,1-3
Male,45,45000+ €,Unemployed,Married,Sometimes,No,Always,TikTok,No,Support for personal issues,Community guidelines,Sometimes,6 or more,Comfortable,None,None
Female,40,45000+ €,Freelancer,Divorced,Sometimes,No,Never,Facebook,Yes,Learning new skills,Ease of use,Sometimes,4-5,Comfortable,6-10,1-3
Male,32,0-15000 €,Part-time,Divorced,Never,Yes,Rarely,TikTok,No,Learning new skills,Content quality,Always,4-5,Comfortable,None,4-6
Female,29,0-15000 €,Freelancer,Divorced,Always,No,Never,Facebook,Yes,Support for personal issues,Ease of use,Sometimes,4-5,Comfortable,11-20,6-8
Female,26,45000+ €,Unemployed,Married,Often,Yes,Sometimes,TikTok,Yes,Support for personal issues,Community guidelines,Rarely,6 or more,Neutral,None,8 and more
Male,33,45000+ €,Freelancer,In a relationship,Never,No,Sometimes,TikTok,Yes,Entertainment,Ease of use,Often,None,Comfortable,11-20,4-6
Male,45,15000-25000 €,Part-time,Divorced,Never,No,Often,Facebook,No,Support for personal issues,Ease of use,Never,None,Comfortable,1-5,4-6
Female,41,15000-25000 €,Unemployed,In a relationship,Rarely,No,Rarely,Twitter,Yes,Support for personal issues,Community guidelines,Often,4-5,Comfortable,6-10,1-3
Female,36,45000+ €,Freelancer,Divorced,Often,Yes,Often,TikTok,Yes,Support for personal issues,Privacy features,Always,6 or more,Very comfortable,6-10,4-6
Male,41,0-15000 €,Freelancer,Married,Always,Yes,Sometimes,Instagram,Yes,Meeting new people,Privacy features,Often,4-5,Neutral,20 and more,6-8
Female,45,0-15000 €,Full-time,In a relationship,Never,No,Never,Facebook,No,Meeting new people,Ease of use,Sometimes,6 or more,Comfortable,None,None
Female,33,45000+ €,Part-time,Divorced,Sometimes,No,Sometimes,Instagram,No,Support for personal issues,Privacy features,Often,4-5,Comfortable,6-10,4-6
Female,28,45000+ €,Unemployed,Married,Sometimes,No,Often,Facebook,Yes,Meeting new people,Content quality,Often,None,Neutral,None,1-3
Female,29,35000-45000 €,Full-time,Divorced,Often,Yes,Rarely,TikTok,Yes,Support for personal issues,Community guidelines,Sometimes,None,Uncomfortable,11-20,None
Male,45,45000+ €,Part-time,In a relationship,Rarely,Yes,Always,Twitter,Yes,Support for personal issues,Ease of use,Often,None,Very uncomfortable,6-10,8 and more
Female,37,45000+ €,Freelancer,Divorced,Rarely,No,Rarely,Instagram,No,Support for personal issues,Ease of use,Rarely,None,Neutral,None,6-8
Female,42,35000-45000 €,Full-time,Divorced,Often,Yes,Never,Instagram,Yes,Support for personal issues,Ease of use,Always,None,Comfortable,6-10,8 and more
Female,35,15000-25000 €,Part-time,In a relationship,Rarely,No,Rarely,Facebook,Yes,Support for personal issues,Content quality,Often,4-5,Very comfortable,None,1-3
Female,45,45000+ €,Full-time,Single,Never,No,Sometimes,Instagram,Yes,Support for personal issues,Ease of use,Always,6 or more,Very comfortable,6-10,1-3
Male,36,0-15000 €,Full-time,In a relationship,Sometimes,No,Sometimes,TikTok,Yes,Entertainment,Content quality,Often,1-3,Comfortable,11-20,None
Male,33,0-15000 €,Unemployed,Married,Often,No,Rarely,Facebook,Yes,Meeting new people,Ease of use,Rarely,4-5,Very comfortable,None,4-6
Female,39,15000-25000 €,Freelancer,Divorced,Sometimes,Yes,Rarely,Twitter,No,Support for personal issues,Ease of use,Rarely,6 or more,Very uncomfortable,None,4-6
Male,46,0-15000 €,Part-time,Single,Never,No,Often,Twitter,Yes,Learning new skills,Privacy features,Often,4-5,Comfortable,1-5,8 and more
Male,38,15000-25000 €,Full-time,Single,Sometimes,No,Always,Twitter,No,Support for personal issues,Privacy features,Rarely,4-5,Very comfortable,20 and more,4-6
Male,27,45000+ €,Unemployed,Divorced,Sometimes,Yes,Rarely,Facebook,Yes,Support for personal issues,Privacy features,Sometimes,4-5,Comfortable,1-5,4-6
Male,36,0-15000 €,Unemployed,Married,Rarely,Yes,Sometimes,Twitter,Yes,Support for personal issues,Content quality,Always,None,Comfortable,20 and more,6-8
Female,38,25000-35000 €,Full-time,Divorced,Rarely,No,Never,TikTok,No,Entertainment,Community guidelines,Rarely,1-3,Comfortable,6-10,4-6
Male,39,15000-25000 €,Part-time,In a relationship,Rarely,No,Always,TikTok,No,Meeting new people,Privacy features,Sometimes,1-3,Very comfortable,1-5,4-6
Male,31,15000-25000 €,Full-time,Single,Always,Yes,Sometimes,TikTok,No,Entertainment,Content quality,Always,6 or more,Comfortable,11-20,None
Male,33,45000+ €,Part-time,Single,Often,Yes,Rarely,Facebook,No,Learning new skills,Privacy features,Rarely,4-5,Comfortable,20 and more,None
Female,37,35000-45000 €,Part-time,Divorced,Never,Yes,Never,Twitter,No,Support for personal issues,Privacy features,Often,4-5,Comfortable,None,6-8
Female,29,0-15000 €,Part-time,Married,Rarely,Yes,Often,Facebook,No,Support for personal issues,Ease of use,Rarely,1-3,Very comfortable,20 and more,6-8
Male,38,45000+ €,Freelancer,Married,Rarely,Yes,Often,Facebook,No,Support for personal issues,Privacy features,Rarely,None,Very comfortable,None,8 and more
Female,39,15000-25000 €,Unemployed,Divorced,Always,Yes,Sometimes,TikTok,Yes,Support for personal issues,Content quality,Always,None,Comfortable,None,6-8
Male,46,45000+ €,Freelancer,Married,Always,Yes,Never,Twitter,Yes,Support for personal issues,Community guidelines,Always,None,Very comfortable,1-5,None
Male,41,15000-25000 €,Part-time,Single,Always,Yes,Rarely,Instagram,No,Learning new skills,Content quality,Sometimes,4-5,Neutral,1-5,4-6
Female,26,15000-25000 €,Unemployed,In a relationship,Never,Yes,Sometimes,Facebook,No,Support for personal issues,Ease of use,Sometimes,6 or more,Comfortable,None,4-6
Male,33,35000-45000 €,Freelancer,In a relationship,Never,Yes,Never,Facebook,Yes,Support for personal issues,Community guidelines,Often,None,Neutral,6-10,8 and more
Male,33,25000-35000 €,Freelancer,Married,Rarely,No,Never,Facebook,No,Learning new skills,Community guidelines,Always,1-3,Comfortable,None,None
Female,35,35000-45000 €,Unemployed,Married,Never,Yes,Rarely,Facebook,No,Support for personal issues,Community guidelines,Always,6 or more,Comfortable,1-5,4-6
Female,33,25000-35000 €,Freelancer,Divorced,Rarely,Yes,Rarely,Facebook,Yes,Support for personal issues,Ease of use,Always,1-3,Comfortable,6-10,None
Male,43,25000-35000 €,Unemployed,Married,Never,Yes,Often,Facebook,Yes,Learning new skills,Content quality,Never,6 or more,Neutral,None,4-6
Female,46,25000-35000 €,Freelancer,Divorced,Rarely,No,Sometimes,Twitter,No,Support for personal issues,Community guidelines,Sometimes,1-3,Comfortable,None,6-8
Female,34,45000+ €,Part-time,Married,Never,No,Rarely,Twitter,No,Learning new skills,Privacy features,Rarely,None,Uncomfortable,1-5,8 and more
